condition,seed,run_id,terminal_status,n_eval_target,n_eval_consumed,n_prop,parse_rate,schema_rate,identifier_rate,applicability_rate,objective_evaluated_rate,hr_all,hr_schema_valid,cvr_proposal,cvr_rule,hypervolume,normalized_hv,delta_hv,pareto_size,best_cost_eur,lowest_mass_kg,min_ideal_distance,wall_clock_sec,t100_sec,eta_hv,total_tokens
C1,0,sha256:45bafa3e45c93ceb,COMPLETE_SPACE_EXHAUSTED,50,11,37,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,9.179591554439998,0.031397163763954246,9.179591554439998,3,187.15,0.6445508,0.6402521432954231,108.7896647080197,294.0261208324857,0.08437926138551011,
C1,1,sha256:6abe296a0628c214,COMPLETE_SPACE_EXHAUSTED,50,13,52,1.0,1.0,0.9807692307692307,0.9807692307692307,0.9807692307692307,0.019230769230769232,0.019230769230769232,,,9.179591554439998,0.031397163763954246,9.179591554439998,3,187.15,0.6445508,0.6402521432954231,114.08610133302864,219.39634871736277,0.08046196203728499,
C1,2,sha256:870eec2c8fc300bd,COMPLETE_SPACE_EXHAUSTED,50,13,49,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,9.179591554439998,0.031397163763954246,9.179591554439998,3,187.15,0.6445508,0.6402521432954231,108.10039799998049,220.61305714281733,0.08491727805148003,
C1,3,sha256:5703b969f7d667eb,COMPLETE_SPACE_EXHAUSTED,50,11,32,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,9.179591554439998,0.031397163763954246,9.179591554439998,3,187.15,0.6445508,0.6402521432954231,70.19140299997525,219.34813437492267,0.13077942827903347,
C1,4,sha256:8aee342e34d493cb,COMPLETE_SPACE_EXHAUSTED,50,13,49,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,9.179591554439998,0.031397163763954246,9.179591554439998,3,187.15,0.6445508,0.6402521432954231,104.4843975410331,213.2334643694553,0.08785609880972889,
C1,5,sha256:e00850e361307d5b,COMPLETE_SPACE_EXHAUSTED,50,13,43,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,9.179591554439998,0.031397163763954246,9.179591554439998,4,187.15,0.6445508,0.6402521432954231,93.42839704197831,217.27534195808911,0.09825269238340369,
C1,6,sha256:1593df6feaf6a02a,COMPLETE_SPACE_EXHAUSTED,50,11,39,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,9.179591554439998,0.031397163763954246,9.179591554439998,3,187.15,0.6445508,0.6402521432954231,84.22186624997994,215.95350320507677,0.10899297252798865,
C1,7,sha256:817d109321d26409,COMPLETE_SPACE_EXHAUSTED,50,11,36,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,9.179591554439998,0.031397163763954246,9.179591554439998,3,187.15,0.6445508,0.6402521432954231,75.14661550003802,208.74059861121674,0.12215575503111452,
C1,8,sha256:daec202e9f648e60,COMPLETE_SPACE_EXHAUSTED,50,15,95,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,9.179591554439998,0.031397163763954246,9.179591554439998,3,187.15,0.6445508,0.6402521432954231,199.144325457979,209.62560574524105,0.04609517008998061,
C1,9,sha256:fde01fc7eda19d7e,COMPLETE_SPACE_EXHAUSTED,50,13,38,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,9.179591554439998,0.031397163763954246,9.179591554439998,3,187.15,0.6445508,0.6402521432954231,82.87339091696776,218.0878708341257,0.11076645293345344,
C2,0,sha256:e59b6ad26417272f,COMPLETE_SPACE_EXHAUSTED,50,15,65,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,8.867432889439998,0.0303294804506807,8.867432889439998,3,187.15,0.6445508,0.6537634091997903,213.70108220900875,328.7708957061673,0.04149456239424783,
C2,1,sha256:5dcb2160563fd4b9,COMPLETE_SPACE_EXHAUSTED,50,15,64,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,9.179591554439998,0.031397163763954246,9.179591554439998,3,187.15,0.6445508,0.6402521432954231,183.13834395899903,286.153662435936,0.050123809989759016,
C2,2,sha256:b81c68fa31245ab4,COMPLETE_SPACE_EXHAUSTED,50,16,54,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,8.867432889439998,0.0303294804506807,8.867432889439998,3,187.15,0.6445508,0.6537634091997903,156.811055416998,290.3908433648111,0.056548518635113953,
C2,3,sha256:6a4a3fb85a79aa58,COMPLETE_SPACE_EXHAUSTED,50,15,73,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,8.867432889439998,0.0303294804506807,8.867432889439998,3,187.15,0.6445508,0.6537634091997903,205.99619162495947,282.1865638698075,0.04304658653876579,
